scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate
Acanthochelys spixii,Reptilia,Testudines,Chelidae,Acanthochelys,spixii,,tortuga de canaleta,NT,LC,06/07/2019
Amphisbaena darwinii,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,darwinii,,víbora ciega de darwin,NE,LC,06/07/2019
Amphisbaena kingii,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,kingii,,víbora ciega de cabeza en cuña,NE,LC,06/07/2019
Amphisbaena munoai,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,munoai,,víbora ciega chica,NE,LC,06/07/2019
Anisolepis undulatus,Reptilia,Squamata,Iguanidae,Anisolepis,undulatus,,lagartija arborícola,VU,DD,06/07/2019
Aspronema dorsivittatum,Reptilia,Squamata,Scincidae,Aspronema,dorsivittatum,,lagartija brillante,NE,LC,06/07/2019
Atractus reticulatus,Reptilia,Squamata,Colubridae,Atractus,reticulatus,,culebra reticulada,NE,DD,06/07/2019
Boiruna maculata,Reptilia,Squamata,Colubridae,Boiruna,maculata,,musurana,NE,LC,06/07/2019
Bothrops alternatus,Reptilia,Squamata,Viperidae,Bothrops,alternatus,,crucera,NE,LC,06/07/2019
Bothrops pubescens,Reptilia,Squamata,Viperidae,Bothrops,pubescens,,yarará,NE,LC,06/07/2019
Caiman latirostris,Reptilia,Crocodilia,Alligatoridae,Caiman,latirostris,,yacaré,LC,LC,06/07/2019
Calamodontophis paucidens,Reptilia,Squamata,Colubridae,Calamodontophis,paucidens,,culebra jaspeada,VU,DD,06/07/2019
Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,tortuga falsa carey,VU,VU,06/07/2019
Cercosaura schreibersii,Reptilia,Squamata,Gymnophthalmidae,Cercosaura,schreibersii,,camaleón marrón,LC,LC,06/07/2019
Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,tortuga verde,EN,VU,06/07/2019
Chironius bicarinatus,Reptilia,Squamata,Colubridae,Chironius,bicarinatus,,culebra papapintos,NE,LC,06/07/2019
Contomastix lacertoides,Reptilia,Squamata,Teiidae,Contomastix,lacertoides,,lagartija verde de cinco dedos,NE,LC,06/07/2019
Crotalus durissus terrificus,Reptilia,Squamata,Viperidae,Crotalus,durissus,terrificus,cascabel,LC,EN,06/07/2019
Dermochelys coriacea,Reptilia,Testudines,Dermochelyidae,Dermochelys,coriacea,,tortuga laúd,VU,CR,06/07/2019
Dipsas turgidus,Reptilia,Squamata,Colubridae,Dipsas,turgidus,,culebra duerme duerme,NE,LC,06/07/2019
Epictia munoai,Reptilia,Squamata,Leptotyphlopidae,Epictia,munoai,,viborita de dos cabezas,NE,LC,06/07/2019
Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,,tortuga carey,CR,NE,06/07/2019
Erythrolamprus almadensis,Reptilia,Squamata,Colubridae,Erythrolamprus,almadensis,,culebra de almada,NE,LC,06/07/2019
Erythrolamprus jaegeri,Reptilia,Squamata,Colubridae,Erythrolamprus,jaegeri,,culebra verde de vientre rojo,LC,LC,06/07/2019
Erythrolamprus poecilogyrus,Reptilia,Squamata,Colubridae,Erythrolamprus,poecilogyrus,,culebra de peñarol,NE,LC,06/07/2019
Erythrolamprus semiaureus,Reptilia,Squamata,Colubridae,Erythrolamprus,semiaureus,,culebra parda de agua,NE,LC,06/07/2019
Eunectes notaeus,Reptilia,Squamata,Boidae,Eunectes,notaeus,,anaconda amarilla,NE,NE,06/07/2019
Helicops infrataeniatus,Reptilia,Squamata,Colubridae,Helicops,infrataeniatus,,culebra de agua,NE,LC,06/07/2019
Homonota uruguayensis,Reptilia,Squamata,Phyllodactylidae,Homonota,uruguayensis,,geko de las piedras,NE,VU,06/07/2019
Hydromedusa tectifera,Reptilia,Testudines,Chelidae,Hydromedusa,tectifera,,tortuga cabeza de víbora,NE,LC,06/07/2019
Lepidochelys olivacea,Reptilia,Testudines,Cheloniidae,Lepidochelys,olivacea,,tortuga olivacea,VU,NE,06/07/2019
Leposternon microcephalum,Reptilia,Squamata,Amphisbaenidae,Leposternon,microcephalum,,víbora ciega de cabeza chica,NE,DD,06/07/2019
Leptophis ahaetulla,Reptilia,Squamata,Colubridae,Leptophis,ahaetulla,,culebra arborícola,NE,DD,06/07/2019
Liolaemus gardeli,Reptilia,Squamata,Liolaemidae,Liolaemus,gardeli,,,NE,NE,06/07/2019
Liolaemus occipitalis,Reptilia,Squamata,Liolaemidae,Liolaemus,occipitalis,,lagartja de la arena,VU,EN,06/07/2019
Liolaemus wiegmannii,Reptilia,Squamata,Liolaemidae,Liolaemus,wiegmannii,,lagartija de la arena de Wiegmann,LC,VU,06/07/2019
Liotyphlops ternetzii,Reptilia,Squamata,Anomalepididae,Liotyphlops,ternetzii,,víbora ciega de ternetz,NE,DD,06/07/2019
Lygophis anomalus,Reptilia,Squamata,Colubridae,Lygophis,anomalus,,culebra de líneas amarillas,NE,LC,06/07/2019
Lygophis flavifrenatus,Reptilia,Squamata,Colubridae,Lygophis,flavifrenatus,,culebra listada,NE,LC,06/07/2019
Micrurus altirostris,Reptilia,Squamata,Elapidae,Micrurus,altirostris,,coral,NE,LC,06/07/2019
Ophiodes intermedius,Reptilia,Squamata,Diploglossidae,Ophiodes,intermedius,,víbora de cristal castaña,LC,LC,06/07/2019
Ophiodes striatus,Reptilia,Squamata,Diploglossidae,Ophiodes,striatus,,víbora de cristal verde,NE,LC,06/07/2019
Ophiodes vertebralis,Reptilia,Squamata,Diploglossidae,Ophiodes,vertebralis,,víbora de cristal común,NE,LC,06/07/2019
Oxyrhopus rhombifer,Reptilia,Squamata,Colubridae,Oxyrhopus,rhombifer,,falsa coral,NE,LC,06/07/2019
Paraphimophis rusticus,Reptilia,Squamata,Colubridae,Paraphimophis,rusticus,,culebra marrón,NE,LC,06/07/2019
Phalotris lemniscatus,Reptilia,Squamata,Colubridae,Phalotris,lemniscatus,,culebra de collar,LC,LC,06/07/2019
Philodryas aestiva,Reptilia,Squamata,Colubridae,Philodryas,aestiva,,culebra verde esmeralda,NE,LC,06/07/2019
Philodryas agassizii,Reptilia,Squamata,Colubridae,Philodryas,agassizii,,culebra verde listada,NE,LC,06/07/2019
Philodryas olfersii,Reptilia,Squamata,Colubridae,Philodryas,olfersii,,culebra de olfers,NE,LC,06/07/2019
Philodryas patagoniensis,Reptilia,Squamata,Colubridae,Philodryas,patagoniensis,,parejera,LC,LC,06/07/2019
Phrynops hilarii,Reptilia,Testudines,Chelidae,Phrynops,hilarii,,campanita,NE,LC,06/07/2019
Phrynops williamsi,Reptilia,Testudines,Chelidae,Phrynops,williamsi,,tortuga de herradura,VU,NT,06/07/2019
Psomophis obtusus,Reptilia,Squamata,Colubridae,Psomophis,obtusus,,culebra castaña de vientre rojo,LC,LC,06/07/2019
Salvator merianae,Reptilia,Squamata,Teiidae,Salvator,merianae,,lagarto overo,LC,LC,06/07/2019
Stenocercus azureus,Reptilia,Squamata,Tropiduridae,Stenocercus,azureus,,lagartija manchada,NE,NT,06/07/2019
Taeniophallus occipitalis,Reptilia,Squamata,Colubridae,Taeniophallus,occipitalis,,culebra de pintas,NE,LC,06/07/2019
Taeniophallus poecilopogon,Reptilia,Squamata,Colubridae,Taeniophallus,poecilopogon,,culebra acintada,NE,VU,06/07/2019
Tantilla melanocephala,Reptilia,Squamata,Colubridae,Tantilla,melanocephala,,culebra roja de cabeza negra,NE,LC,06/07/2019
Teius oculatus,Reptilia,Squamata,Teiidae,Teius,oculatus,,lagartija verde de cuatro dedos,NE,LC,06/07/2019
Thamnodynastes hypoconia,Reptilia,Squamata,Colubridae,Thamnodynastes,hypoconia,,culebra de la arena,NE,LC,06/07/2019
Thamnodynastes strigatus,Reptilia,Squamata,Colubridae,Thamnodynastes,strigatus,,culebra sepia,LC,LC,06/07/2019
Tomodon dorsatus,Reptilia,Squamata,Colubridae,Tomodon,dorsatus,,falsa crucera parda,NE,DD,06/07/2019
Tomodon ocellatus,Reptilia,Squamata,Colubridae,Tomodon,ocellatus,,falsa crucera,NE,LC,06/07/2019
Trachemys dorbigni,Reptilia,Testudines,Emydidae,Trachemys,dorbigni,,morrocoyo,NE,LC,06/07/2019
Tropidurus torquatus,Reptilia,Squamata,Tropiduridae,Tropidurus,torquatus,,camaleón de cola espinosa,LC,NT,06/07/2019
Xenodon dorbignyi,Reptilia,Squamata,Colubridae,Xenodon,dorbignyi,,falsa crucera de hocico respingado,NE,LC,06/07/2019
Xenodon histricus,Reptilia,Squamata,Colubridae,Xenodon,histricus,,falsa coral de hocico respingado,LC,DD,06/07/2019
Xenodon merremii,Reptilia,Squamata,Colubridae,Xenodon,merremii,,sapera,NE,LC,06/07/2019
